IP              Ping            Hostname                Ports           
130.193.130.22  354 ms          [n/a]                   21-23,80        
130.193.130.2   362 ms          [n/a]                   21-23,80        
130.193.130.18  572 ms          [n/a]                   22,23           
130.193.131.60  278 ms          [n/a]                   21-23,80        
130.193.131.46  292 ms          [n/a]                   21-23,80        
130.193.131.61  273 ms          [n/a]                   22,23,80        
130.193.131.62  270 ms          [n/a]                   443             
130.193.131.59  307 ms          [n/a]                   80,443          
130.193.131.74  280 ms          [n/a]                   22              
130.193.131.111 285 ms          [n/a]                   22,23           
130.193.131.58  307 ms          [n/a]                   443             
130.193.131.98  279 ms          [n/a]                   443             
130.193.131.75  311 ms          [n/a]                   22,23           
130.193.131.104 318 ms          [n/a]                   443             
130.193.131.125 288 ms          [n/a]                   22              
130.193.131.126 329 ms          [n/a]                   22              
130.193.131.130 308 ms          [n/a]                   80              
130.193.131.97  288 ms          [n/a]                   22              
130.193.148.66  272 ms          [n/a]                   21-23,80        
130.193.148.122 271 ms          [n/a]                   80,443          
130.193.148.194 283 ms          [n/a]                   21-23,80        
130.193.148.190 275 ms          [n/a]                   22,443          
130.193.149.1   335 ms          [n/a]                   21              
130.193.149.9   328 ms          [n/a]                   80,443          
130.193.149.14  319 ms          [n/a]                   80,443          
130.193.149.13  328 ms          [n/a]                   80,443          
130.193.149.6   378 ms          [n/a]                   80,443          
130.193.149.7   384 ms          [n/a]                   80,443          
130.193.149.5   382 ms          [n/a]                   80,443          
130.193.149.11  377 ms          [n/a]                   80,443          
130.193.149.18  326 ms          [n/a]                   80,443          
130.193.149.10  379 ms          [n/a]                   80,443          
130.193.149.12  381 ms          [n/a]                   80,443          
130.193.149.19  342 ms          [n/a]                   80,443          
130.193.149.21  339 ms          [n/a]                   80,443          
130.193.149.22  339 ms          [n/a]                   80,443          
130.193.149.15  382 ms          [n/a]                   80,443          
130.193.149.17  380 ms          [n/a]                   80,443          
130.193.149.16  385 ms          [n/a]                   80,443          
130.193.149.20  353 ms          [n/a]                   80,443          
130.193.149.42  319 ms          [n/a]                   80,443          
130.193.149.41  325 ms          [n/a]                   80,443          
130.193.149.37  333 ms          [n/a]                   80,443          
130.193.149.43  330 ms          [n/a]                   80,443          
130.193.149.25  372 ms          [n/a]                   80,443          
130.193.149.26  373 ms          [n/a]                   80,443          
130.193.149.49  345 ms          [n/a]                   80,443          
130.193.149.24  374 ms          [n/a]                   80,443          
130.193.149.38  380 ms          [n/a]                   80,443          
130.193.149.44  374 ms          [n/a]                   80,443          
130.193.149.39  384 ms          [n/a]                   80,443          
130.193.149.45  379 ms          [n/a]                   80,443          
130.193.149.48  362 ms          [n/a]                   80,443          
130.193.160.26  277 ms          [n/a]                   22,80,443       
130.193.160.52  276 ms          [n/a]                   21,22           
130.193.160.22  312 ms          [n/a]                   443             
130.193.160.17  325 ms          [n/a]                   443             
130.193.160.37  330 ms          [n/a]                   443             
130.193.160.122 287 ms          [n/a]                   80,443          
130.193.160.106 340 ms          [n/a]                   22              
130.193.165.10  267 ms          [n/a]                   21,80,443       
130.193.165.1   271 ms          [n/a]                   21              
130.193.165.2   333 ms          spd1.newroztelecom.com  21,80,443,8080  
130.193.165.33  279 ms          [n/a]                   22,80,443       
130.193.165.22  268 ms          [n/a]                   22,80           
130.193.165.34  290 ms          [n/a]                   22,80,443       
130.193.165.35  316 ms          [n/a]                   22,80,443,8080  
130.193.165.36  279 ms          [n/a]                   22,8080         
130.193.165.27  278 ms          [n/a]                   21              
130.193.165.37  284 ms          [n/a]                   443             
130.193.165.14  334 ms          [n/a]                   80,443          
130.193.165.58  280 ms          [n/a]                   80,443          
130.193.165.49  277 ms          [n/a]                   21              
130.193.165.28  321 ms          [n/a]                   22,443          
130.193.165.62  283 ms          [n/a]                   80,443          
130.193.165.13  335 ms          [n/a]                   21              
130.193.165.50  317 ms          [n/a]                   22,80           
130.193.165.61  313 ms          [n/a]                   21              
130.193.165.65  320 ms          [n/a]                   443             
130.193.165.118 269 ms          [n/a]                   22,23           
130.193.165.81  317 ms          [n/a]                   443             
130.193.165.114 282 ms          [n/a]                   22,23           
130.193.165.122 287 ms          [n/a]                   80,443          
130.193.165.126 314 ms          [n/a]                   80,443          
130.193.165.125 314 ms          [n/a]                   21              
130.193.165.154 334 ms          [n/a]                   22,80,8080      
130.193.165.146 332 ms          [n/a]                   80              
130.193.165.165 283 ms          [n/a]                   21              
130.193.165.162 319 ms          [n/a]                   22,80           
130.193.165.166 316 ms          [n/a]                   22,80           
130.193.165.54  284 ms          [n/a]                   80,443          
130.193.165.190 279 ms          [n/a]                   21,80,443       
130.193.165.186 276 ms          [n/a]                   80,443          
130.193.165.182 286 ms          [n/a]                   22,80           
130.193.165.206 278 ms          [n/a]                   21,80,443       
130.193.165.193 283 ms          [n/a]                   21              
130.193.165.195 284 ms          [n/a]                   80              
130.193.165.205 268 ms          [n/a]                   21              
130.193.165.194 324 ms          [n/a]                   22,80           
130.193.165.242 309 ms          [n/a]                   22,80,8080      
