
IP              Ping            Hostname                Ports           
78.109.226.6    324 ms          [n/a]                   443             
78.109.234.2    340 ms          [n/a]                   443             
78.109.235.6    330 ms          [n/a]                   80              
78.109.237.20   337 ms          [n/a]                   80,443          
78.109.238.75   323 ms          [n/a]                   80,443          
78.109.238.74   346 ms          [n/a]                   21,80           
78.109.238.83   336 ms          [n/a]                   80,443          
78.109.238.82   347 ms          [n/a]                   80              
78.109.238.78   356 ms          [n/a]                   80              
78.109.238.94   351 ms          [n/a]                   80              
78.109.238.76   394 ms          [n/a]                   80              
78.109.238.77   394 ms          [n/a]                   80              
78.109.238.87   377 ms          [n/a]                   80              
78.109.238.86   380 ms          [n/a]                   80              
