

IP              Ping            Hostname                Ports           
95.159.66.5     298 ms          [n/a]                   21,3389         
95.159.66.1     294 ms          [n/a]                   21,22           
95.159.66.50    298 ms          [n/a]                   21,22           
95.159.66.17    295 ms          [n/a]                   3389            
95.159.66.54    300 ms          [n/a]                   21,22           
95.159.66.66    303 ms          [n/a]                   8080            
95.159.66.149   301 ms          [n/a]                   21,80,443       
95.159.66.153   304 ms          [n/a]                   21,80,443       
95.159.66.121   304 ms          [n/a]                   80,443          
95.159.66.146   304 ms          [n/a]                   21,22           
95.159.66.249   310 ms          [n/a]                   21,80,443       
95.159.66.246   311 ms          [n/a]                   21,22           
95.159.66.248   309 ms          [n/a]                   21,22           
95.159.67.147   308 ms          [n/a]                   22,443          
95.159.67.181   322 ms          [n/a]                   21-23,80,443    
95.159.67.138   306 ms          [n/a]                   80,443          
95.159.67.151   308 ms          [n/a]                   80,443          
95.159.67.212   323 ms          [n/a]                   21,80,443,3389,8080
95.159.67.133   308 ms          [n/a]                   3389            
95.159.67.145   304 ms          [n/a]                   443             
95.159.68.83    310 ms          [n/a]                   80,443          
95.159.68.84    312 ms          [n/a]                   80,443          
95.159.68.85    319 ms          [n/a]                   80,443          
95.159.68.94    328 ms          [n/a]                   80,443          
95.159.68.98    328 ms          [n/a]                   80,443          
95.159.68.97    330 ms          [n/a]                   80,443          
95.159.68.99    332 ms          [n/a]                   80,443          
95.159.68.106   335 ms          [n/a]                   80,443          
95.159.68.82    309 ms          [n/a]                   443             
95.159.68.107   338 ms          [n/a]                   80,443          
95.159.68.95    328 ms          [n/a]                   80,443          
95.159.68.147   330 ms          [n/a]                   80,443          
95.159.68.149   328 ms          [n/a]                   80,443          
95.159.68.148   331 ms          [n/a]                   80,443          
95.159.68.159   299 ms          [n/a]                   80,443          
95.159.68.158   304 ms          [n/a]                   80,443          
95.159.68.161   318 ms          [n/a]                   80,443          
95.159.68.163   321 ms          [n/a]                   80,443          
95.159.68.160   314 ms          [n/a]                   80,443          
95.159.68.171   315 ms          [n/a]                   80,443          
95.159.68.170   313 ms          [n/a]                   80,443          
95.159.68.145   309 ms          [n/a]                   443             
95.159.69.101   311 ms          [n/a]                   22,80           
95.159.69.246   311 ms          [n/a]                   21,80,443       
95.159.69.254   297 ms          [n/a]                   21,80,443       
95.159.69.242   313 ms          [n/a]                   80,443          
95.159.73.1     315 ms          [n/a]                   21,80,443       
95.159.73.14    305 ms          [n/a]                   80,443          
95.159.73.13    306 ms          [n/a]                   80,443          
95.159.73.12    303 ms          [n/a]                   80,443          
95.159.73.15    304 ms          [n/a]                   80,443          
95.159.73.16    307 ms          [n/a]                   80,443          
95.159.73.17    306 ms          [n/a]                   80,443          
95.159.73.19    304 ms          [n/a]                   80,443          
95.159.73.18    308 ms          [n/a]                   80,443          
95.159.73.20    309 ms          [n/a]                   80,443          
95.159.73.65    312 ms          [n/a]                   21,80,443       
95.159.73.61    309 ms          [n/a]                   80,443          
95.159.73.60    311 ms          [n/a]                   80,443          
95.159.73.59    312 ms          [n/a]                   80,443          
95.159.73.68    325 ms          [n/a]                   80,443          
95.159.73.72    327 ms          [n/a]                   80,443          
95.159.73.71    328 ms          [n/a]                   80,443          
95.159.73.73    326 ms          [n/a]                   80,443          
95.159.73.69    331 ms          [n/a]                   80,443          
95.159.73.74    328 ms          [n/a]                   80,443          
95.159.73.75    327 ms          [n/a]                   80,443          
95.159.73.70    330 ms          [n/a]                   80,443          
95.159.73.80    310 ms          [n/a]                   80,443          
95.159.73.129   330 ms          [n/a]                   21,80,443       
95.159.73.141   316 ms          [n/a]                   80,443          
95.159.73.140   319 ms          [n/a]                   80,443          
95.159.73.155   316 ms          [n/a]                   80,443          
95.159.73.156   316 ms          [n/a]                   80,443          
95.159.73.157   317 ms          [n/a]                   80,443          
95.159.73.158   316 ms          [n/a]                   80,443          
95.159.74.83    309 ms          [n/a]                   3389            
95.159.74.241   342 ms          [n/a]                   21,22           
95.159.105.26   303 ms          [n/a]                   443             
95.159.105.21   313 ms          [n/a]                   443             
95.159.105.89   299 ms          [n/a]                   21-23,80,443    
95.159.105.38   319 ms          [n/a]                   21              
95.159.105.81   311 ms          [n/a]                   22,80           
95.159.105.73   331 ms          [n/a]                   80              
95.159.105.129  326 ms          [n/a]                   21-23,80        
95.159.105.69   334 ms          [n/a]                   80,443          
95.159.105.153  329 ms          [n/a]                   22              
95.159.105.241  307 ms          [n/a]                   443             
95.159.105.242  303 ms          [n/a]                   443             
95.159.106.107  325 ms          [n/a]                   22,23           
95.159.106.109  326 ms          [n/a]                   22,23           
95.159.106.105  329 ms          [n/a]                   22,443          
95.159.106.150  301 ms          [n/a]                   21,80,443       
95.159.111.100  330 ms          [n/a]                   21,22           
95.159.112.100  321 ms          [n/a]                   21,22           
